Carrera universitaria,Especialidad,Ciclo académico,Día nacimiento,Mes nacimiento,Año nacimiento,Género,Primera letra Nombre,Almuerzo favorito,Curso favorito,Nro Mascotas
Educación,Educación Inicial,X,03,02,1995,Masculino,X,Pollo a la brasa,Diseño,5
Derecho,Derecho Civil,IV,22,11,1998,Masculino,C,Hamburguesa,Biología,2
Medicina,Cardiología,IV,16,04,2001,Femenino,T,Ají de gallina,Física,4
Administración,Marketing,IV,08,06,1998,Masculino,W,Ceviche,Estadística,2
Derecho,Derecho Penal,V,06,05,2003,Otro,P,Ceviche,Programación,1
Educación,Educación Especial,II,08,02,2000,Otro,E,Ají de gallina,Programación,3
Contabilidad,Auditoría,X,19,12,2002,Femenino,F,Hamburguesa,Diseño,5
Administración,Recursos Humanos,X,03,06,1996,Femenino,L,Arroz chaufa,Historia,5
Administración,Marketing,V,04,06,2001,Femenino,G,Pollo a la brasa,Física,1
Arquitectura,Diseño Urbano,X,18,07,2004,Otro,W,Ceviche,Diseño,1
Derecho,Derecho Civil,II,16,05,1998,Femenino,A,Arroz chaufa,Física,3
Medicina,Pediatría,V,25,01,2000,Masculino,G,Ají de gallina,Estadística,0
Contabilidad,Contabilidad de Gestión,VIII,27,10,2005,Otro,B,Pollo a la brasa,Biología,4
Administración,Gestión de Empresas,VII,19,03,1999,Masculino,E,Lomo saltado,Lenguaje,1
Arquitectura,Diseño de Interiores,X,07,11,2002,Masculino,Z,Hamburguesa,Lenguaje,0
Administración,Marketing,IV,17,01,1996,Otro,C,Lomo saltado,Lenguaje,3
Economía,Desarrollo Económico,II,19,10,1998,Masculino,D,Ensalada,Lenguaje,1
Medicina,Pediatría,VI,20,05,1997,Masculino,I,Tallarin verde,Matemática,3
Derecho,Derecho Civil,VI,23,08,1996,Femenino,I,Ají de gallina,Física,1
Derecho,Derecho Corporativo,I,26,06,2001,Masculino,Q,Pollo a la brasa,Matemática,2
Economía,Economía Internacional,I,06,02,1997,Otro,P,Arroz chaufa,Estadística,5
Economía,Econometría,II,07,12,1995,Masculino,J,Ceviche,Diseño,3
Ingeniería de Software,Ciberseguridad,V,18,06,2004,Masculino,Y,Arroz chaufa,Estadística,2
Psicología,Psicología Clínica,I,19,04,2005,Masculino,R,Ají de gallina,Lenguaje,5
Psicología,Psicología Clínica,VII,22,11,1997,Otro,C,Pollo a la brasa,Estadística,2
Contabilidad,Finanzas Empresariales,X,15,09,1996,Masculino,A,Ají de gallina,Biología,2
Medicina,Cirugía General,IX,08,11,1996,Masculino,A,Ceviche,Diseño,2
Contabilidad,Contabilidad de Gestión,II,06,03,2004,Otro,P,Tallarin verde,Lenguaje,1
Contabilidad,Finanzas Empresariales,VI,19,12,1999,Femenino,L,Ceviche,Historia,1
Derecho,Derecho Civil,I,18,01,2000,Otro,G,Lomo saltado,Matemática,0
Contabilidad,Finanzas Empresariales,II,13,04,1999,Femenino,S,Ensalada,Estadística,1
Ingeniería de Software,Desarrollo Web,V,28,03,2003,Masculino,L,Tallarin verde,Programación,4
Administración,Marketing,VI,10,04,2005,Otro,V,Ají de gallina,Lenguaje,4
Contabilidad,Tributación,III,25,07,2000,Femenino,C,Hamburguesa,Física,0
Educación,Pedagogía,III,03,01,2005,Masculino,P,Ceviche,Historia,1
Economía,Econometría,VI,23,12,1997,Otro,M,Ají de gallina,Biología,0
Psicología,Psicología Organizacional,V,10,10,1995,Otro,T,Ensalada,Diseño,3
Derecho,Derecho Civil,IV,22,09,1997,Otro,F,Ensalada,Física,5
Economía,Desarrollo Económico,IX,24,10,2005,Otro,Q,Lomo saltado,Estadística,2
Arquitectura,Diseño Urbano,V,24,07,1998,Femenino,G,Ceviche,Diseño,3
Psicología,Psicología Clínica,III,13,11,2003,Masculino,Y,Tallarin verde,Diseño,3
Ingeniería de Software,DevOps,VIII,20,10,1995,Femenino,I,Ensalada,Lenguaje,5
Ingeniería de Software,Inteligencia Artificial,VII,17,03,1995,Masculino,Y,Ají de gallina,Biología,0
Psicología,Psicología Clínica,VIII,04,01,2004,Otro,O,Lomo saltado,Física,4
Ingeniería de Software,Inteligencia Artificial,V,24,01,1997,Masculino,I,Ají de gallina,Lenguaje,0
Economía,Econometría,V,03,11,1998,Femenino,Q,Hamburguesa,Programación,5
Administración,Finanzas,VII,21,07,2000,Femenino,L,Lomo saltado,Matemática,2
Administración,Finanzas,X,23,11,1998,Masculino,T,Ají de gallina,Estadística,1
Administración,Recursos Humanos,VI,13,11,2003,Masculino,I,Ceviche,Diseño,0
Educación,Educación Secundaria,I,15,09,2004,Otro,G,Arroz chaufa,Programación,0
Contabilidad,Contabilidad de Gestión,X,18,07,1999,Otro,R,Lomo saltado,Física,5
Medicina,Medicina Interna,X,02,09,2001,Femenino,Z,Hamburguesa,Estadística,3
Psicología,Psicología Educativa,III,10,08,2001,Otro,S,Lomo saltado,Diseño,0
Educación,Pedagogía,V,26,02,1996,Masculino,G,Pollo a la brasa,Programación,4
Administración,Marketing,VIII,26,03,2005,Otro,P,Lomo saltado,Estadística,4
Educación,Educación Especial,IX,03,05,2000,Masculino,E,Ceviche,Programación,5
Educación,Pedagogía,X,19,05,1999,Masculino,A,Ají de gallina,Física,1
Administración,Recursos Humanos,II,17,10,2003,Otro,B,Tallarin verde,Física,1
Psicología,Psicología Clínica,VII,09,05,2000,Otro,K,Arroz chaufa,Programación,5
Ingeniería de Software,Desarrollo Web,II,09,07,2001,Femenino,I,Ají de gallina,Matemática,3
Economía,Econometría,II,02,06,2004,Otro,R,Arroz chaufa,Programación,4
Ingeniería de Software,DevOps,V,04,12,2002,Otro,X,Ají de gallina,Física,4
Contabilidad,Auditoría,VIII,02,07,1996,Otro,I,Hamburguesa,Diseño,4
Arquitectura,Restauración,V,14,02,2001,Otro,R,Lomo saltado,Estadística,5
Contabilidad,Contabilidad de Gestión,VI,10,08,2000,Otro,C,Hamburguesa,Historia,0
Derecho,Derecho Civil,V,17,12,2000,Femenino,E,Pollo a la brasa,Física,2
Psicología,Psicología Educativa,III,08,08,2003,Masculino,T,Arroz chaufa,Historia,2
Arquitectura,Diseño de Interiores,VI,03,08,2003,Femenino,X,Hamburguesa,Lenguaje,2
Psicología,Psicología Clínica,V,25,05,2004,Femenino,O,Ensalada,Historia,3
Arquitectura,Diseño de Interiores,VII,08,02,1999,Otro,T,Tallarin verde,Matemática,2
Ingeniería de Software,Ciberseguridad,II,16,11,1999,Masculino,H,Tallarin verde,Programación,5
Educación,Educación Secundaria,IV,11,02,1996,Femenino,X,Lomo saltado,Física,4
Administración,Gestión de Empresas,V,04,08,1997,Otro,A,Pollo a la brasa,Física,5
Economía,Economía Internacional,I,28,11,2002,Otro,R,Arroz chaufa,Física,0
Contabilidad,Tributación,III,27,10,1996,Otro,P,Ceviche,Matemática,0
Economía,Política Económica,III,11,06,1999,Masculino,O,Ají de gallina,Diseño,5
Ingenieria de software,Desarrollo de software,VII,8,9,2004,Masculino,S,Tallarines verdes,POO,4
international business,logistica,III,6,9,2006,Femenino,a,TALLARINES VERDES,INTER TRADE II,1
International Business,no se ,V,1,7,2004,Masculino,J,Tallarines a la huancaina con lomo,Modelo de negocios y startups,1
software,python,8vo,1,7,2004,Masculino,l,ceviche,idiomas,1
Ingeniería Empresarial,,7,18,2,2004,Femenino,F,Spaguetti a lo Alfredo,Innovación y Empredimiento,3
Administración,Transformación Digital,10,15,6,2003,Masculino,D,Arroz con Pollo,Transformación Digital,7
